i,j,k,facecolor
243,244,229,"rgb(255,0,0)"
222,221,236,"rgb(255,0,0)"
236,237,222,"rgb(255,0,0)"
234,233,248,"rgb(255,0,0)"
248,249,234,"rgb(255,0,0)"
242,241,256,"rgb(255,0,0)"
256,257,242,"rgb(255,0,0)"
235,234,249,"rgb(255,0,0)"
249,250,235,"rgb(255,0,0)"
243,242,257,"rgb(255,0,0)"
257,258,243,"rgb(255,0,0)"
236,235,250,"rgb(255,0,0)"
250,251,236,"rgb(255,0,0)"
244,243,258,"rgb(255,0,0)"
258,259,244,"rgb(255,0,0)"
237,236,251,"rgb(255,0,0)"
251,252,237,"rgb(255,0,0)"
245,244,259,"rgb(255,0,0)"
259,260,245,"rgb(255,0,0)"
238,237,252,"rgb(255,0,0)"
252,253,238,"rgb(255,0,0)"
246,245,260,"rgb(255,0,0)"
260,261,246,"rgb(255,0,0)"
239,238,253,"rgb(255,0,0)"
253,254,239,"rgb(255,0,0)"
247,246,261,"rgb(255,0,0)"
261,262,247,"rgb(255,0,0)"
240,239,254,"rgb(255,0,0)"
254,255,240,"rgb(255,0,0)"
233,109,248,"rgb(255,0,0)"
344,247,262,"rgb(255,0,0)"
241,240,255,"rgb(255,0,0)"
255,256,241,"rgb(255,0,0)"
253,252,267,"rgb(255,0,0)"
267,268,253,"rgb(255,0,0)"
261,260,275,"rgb(255,0,0)"
275,276,261,"rgb(255,0,0)"
254,253,268,"rgb(255,0,0)"
268,269,254,"rgb(255,0,0)"
262,261,276,"rgb(255,0,0)"
276,277,262,"rgb(255,0,0)"
255,254,269,"rgb(255,0,0)"
269,270,255,"rgb(255,0,0)"
248,99,263,"rgb(255,0,0)"
343,262,277,"rgb(255,0,0)"
256,255,270,"rgb(255,0,0)"
270,271,256,"rgb(255,0,0)"
249,248,263,"rgb(255,0,0)"
263,264,249,"rgb(255,0,0)"
257,256,271,"rgb(255,0,0)"
271,272,257,"rgb(255,0,0)"
250,249,264,"rgb(255,0,0)"
264,265,250,"rgb(255,0,0)"
258,257,272,"rgb(255,0,0)"
272,273,258,"rgb(255,0,0)"
251,250,265,"rgb(255,0,0)"
265,266,251,"rgb(255,0,0)"
259,258,273,"rgb(255,0,0)"
273,274,259,"rgb(255,0,0)"
252,251,266,"rgb(255,0,0)"
266,267,252,"rgb(255,0,0)"
260,259,274,"rgb(255,0,0)"
274,275,260,"rgb(255,0,0)"
272,271,286,"rgb(255,0,0)"
286,287,272,"rgb(255,0,0)"
265,264,279,"rgb(255,0,0)"
279,280,265,"rgb(255,0,0)"
273,272,287,"rgb(255,0,0)"
287,288,273,"rgb(255,0,0)"
266,265,280,"rgb(255,0,0)"
280,281,266,"rgb(255,0,0)"
274,273,288,"rgb(255,0,0)"
288,289,274,"rgb(255,0,0)"
267,266,281,"rgb(255,0,0)"
281,282,267,"rgb(255,0,0)"
275,274,289,"rgb(255,0,0)"
289,290,275,"rgb(255,0,0)"
268,267,282,"rgb(255,0,0)"
282,283,268,"rgb(255,0,0)"
276,275,290,"rgb(255,0,0)"
290,291,276,"rgb(255,0,0)"
269,268,283,"rgb(255,0,0)"
283,284,269,"rgb(255,0,0)"
277,276,291,"rgb(255,0,0)"
291,292,277,"rgb(255,0,0)"
270,269,284,"rgb(255,0,0)"
284,285,270,"rgb(255,0,0)"
263,93,278,"rgb(255,0,0)"
339,277,292,"rgb(255,0,0)"
271,270,285,"rgb(255,0,0)"
285,286,271,"rgb(255,0,0)"
264,263,278,"rgb(255,0,0)"
278,279,264,"rgb(255,0,0)"
291,290,305,"rgb(255,0,0)"
305,306,291,"rgb(255,0,0)"
284,283,298,"rgb(255,0,0)"
298,299,284,"rgb(255,0,0)"
292,291,306,"rgb(255,0,0)"
306,307,292,"rgb(255,0,0)"
285,284,299,"rgb(255,0,0)"
299,300,285,"rgb(255,0,0)"
278,94,293,"rgb(255,0,0)"
342,292,307,"rgb(255,0,0)"
286,285,300,"rgb(255,0,0)"
300,301,286,"rgb(255,0,0)"
279,278,293,"rgb(255,0,0)"
293,294,279,"rgb(255,0,0)"
287,286,301,"rgb(255,0,0)"
301,302,287,"rgb(255,0,0)"
280,279,294,"rgb(255,0,0)"
294,295,280,"rgb(255,0,0)"
288,287,302,"rgb(255,0,0)"
302,303,288,"rgb(255,0,0)"
281,280,295,"rgb(255,0,0)"
295,296,281,"rgb(255,0,0)"
289,288,303,"rgb(255,0,0)"
303,304,289,"rgb(255,0,0)"
282,281,296,"rgb(255,0,0)"
296,297,282,"rgb(255,0,0)"
290,289,304,"rgb(255,0,0)"
304,305,290,"rgb(255,0,0)"
283,282,297,"rgb(255,0,0)"
297,298,283,"rgb(255,0,0)"
295,294,309,"rgb(255,0,0)"
309,310,295,"rgb(255,0,0)"
303,302,317,"rgb(255,0,0)"
317,318,303,"rgb(255,0,0)"
296,295,310,"rgb(255,0,0)"
310,311,296,"rgb(255,0,0)"
304,303,318,"rgb(255,0,0)"
318,319,304,"rgb(255,0,0)"
297,296,311,"rgb(255,0,0)"
311,312,297,"rgb(255,0,0)"
305,304,319,"rgb(255,0,0)"
319,320,305,"rgb(255,0,0)"
298,297,312,"rgb(255,0,0)"
312,313,298,"rgb(255,0,0)"
306,305,320,"rgb(255,0,0)"
320,321,306,"rgb(255,0,0)"
299,298,313,"rgb(255,0,0)"
313,314,299,"rgb(255,0,0)"
307,306,321,"rgb(255,0,0)"
321,322,307,"rgb(255,0,0)"
300,299,314,"rgb(255,0,0)"
314,315,300,"rgb(255,0,0)"
293,95,308,"rgb(255,0,0)"
341,307,322,"rgb(255,0,0)"
301,300,315,"rgb(255,0,0)"
315,316,301,"rgb(255,0,0)"
294,293,308,"rgb(255,0,0)"
308,309,294,"rgb(255,0,0)"
302,301,316,"rgb(255,0,0)"
316,317,302,"rgb(255,0,0)"
314,313,328,"rgb(255,0,0)"
328,329,314,"rgb(255,0,0)"
322,321,336,"rgb(255,0,0)"
336,337,322,"rgb(255,0,0)"
315,314,329,"rgb(255,0,0)"
329,330,315,"rgb(255,0,0)"
308,96,323,"rgb(255,0,0)"
340,322,337,"rgb(255,0,0)"
316,315,330,"rgb(255,0,0)"
330,331,316,"rgb(255,0,0)"
309,308,323,"rgb(255,0,0)"
323,324,309,"rgb(255,0,0)"
317,316,331,"rgb(255,0,0)"
331,332,317,"rgb(255,0,0)"
310,309,324,"rgb(255,0,0)"
324,325,310,"rgb(255,0,0)"
318,317,332,"rgb(255,0,0)"
332,333,318,"rgb(255,0,0)"
311,310,325,"rgb(255,0,0)"
325,326,311,"rgb(255,0,0)"
319,318,333,"rgb(255,0,0)"
333,334,319,"rgb(255,0,0)"
312,311,326,"rgb(255,0,0)"
326,327,312,"rgb(255,0,0)"
320,319,334,"rgb(255,0,0)"
334,335,320,"rgb(255,0,0)"
313,312,327,"rgb(255,0,0)"
327,328,313,"rgb(255,0,0)"
321,320,335,"rgb(255,0,0)"
335,336,321,"rgb(255,0,0)"
333,332,379,"rgb(255,0,0)"
379,380,333,"rgb(255,0,0)"
326,325,372,"rgb(255,0,0)"
372,373,326,"rgb(255,0,0)"
334,333,380,"rgb(255,0,0)"
380,381,334,"rgb(255,0,0)"
327,326,373,"rgb(255,0,0)"
373,374,327,"rgb(255,0,0)"
335,334,381,"rgb(255,0,0)"
381,382,335,"rgb(255,0,0)"
328,327,374,"rgb(255,0,0)"
374,375,328,"rgb(255,0,0)"
336,335,382,"rgb(255,0,0)"
382,383,336,"rgb(255,0,0)"
329,328,375,"rgb(255,0,0)"
375,376,329,"rgb(255,0,0)"
337,336,383,"rgb(255,0,0)"
383,384,337,"rgb(255,0,0)"
330,329,376,"rgb(255,0,0)"
376,377,330,"rgb(255,0,0)"
323,97,370,"rgb(255,0,0)"
353,337,384,"rgb(255,0,0)"
331,330,377,"rgb(255,0,0)"
377,378,331,"rgb(255,0,0)"
324,323,370,"rgb(255,0,0)"
370,371,324,"rgb(255,0,0)"
332,331,378,"rgb(255,0,0)"
378,379,332,"rgb(255,0,0)"
325,324,371,"rgb(255,0,0)"
371,372,325,"rgb(255,0,0)"
384,383,398,"rgb(255,0,0)"
398,399,384,"rgb(255,0,0)"
377,376,391,"rgb(255,0,0)"
391,392,377,"rgb(255,0,0)"
370,98,385,"rgb(255,0,0)"
369,384,399,"rgb(255,0,0)"
378,377,392,"rgb(255,0,0)"
392,393,378,"rgb(255,0,0)"
371,370,385,"rgb(255,0,0)"
385,386,371,"rgb(255,0,0)"
379,378,393,"rgb(255,0,0)"
393,394,379,"rgb(255,0,0)"
372,371,386,"rgb(255,0,0)"
386,387,372,"rgb(255,0,0)"
380,379,394,"rgb(255,0,0)"
394,395,380,"rgb(255,0,0)"
373,372,387,"rgb(255,0,0)"
387,388,373,"rgb(255,0,0)"
381,380,395,"rgb(255,0,0)"
395,396,381,"rgb(255,0,0)"
374,373,388,"rgb(255,0,0)"
388,389,374,"rgb(255,0,0)"
382,381,396,"rgb(255,0,0)"
396,397,382,"rgb(255,0,0)"
375,374,389,"rgb(255,0,0)"
389,390,375,"rgb(255,0,0)"
383,382,397,"rgb(255,0,0)"
397,398,383,"rgb(255,0,0)"
376,375,390,"rgb(255,0,0)"
390,391,376,"rgb(255,0,0)"
396,395,410,"rgb(255,0,0)"
410,411,396,"rgb(255,0,0)"
389,388,403,"rgb(255,0,0)"
403,404,389,"rgb(255,0,0)"
397,396,411,"rgb(255,0,0)"
411,412,397,"rgb(255,0,0)"
390,389,404,"rgb(255,0,0)"
404,405,390,"rgb(255,0,0)"
398,397,412,"rgb(255,0,0)"
412,413,398,"rgb(255,0,0)"
391,390,405,"rgb(255,0,0)"
405,406,391,"rgb(255,0,0)"
399,398,413,"rgb(255,0,0)"
413,414,399,"rgb(255,0,0)"
392,391,406,"rgb(255,0,0)"
406,407,392,"rgb(255,0,0)"
385,100,400,"rgb(255,0,0)"
359,399,414,"rgb(255,0,0)"
393,392,407,"rgb(255,0,0)"
407,408,393,"rgb(255,0,0)"
386,385,400,"rgb(255,0,0)"
400,401,386,"rgb(255,0,0)"
394,393,408,"rgb(255,0,0)"
408,409,394,"rgb(255,0,0)"
387,386,401,"rgb(255,0,0)"
401,402,387,"rgb(255,0,0)"
395,394,409,"rgb(255,0,0)"
409,410,395,"rgb(255,0,0)"
388,387,402,"rgb(255,0,0)"
402,403,388,"rgb(255,0,0)"
400,107,416,"rgb(255,0,0)"
360,414,443,"rgb(255,0,0)"
408,407,429,"rgb(255,0,0)"
429,431,408,"rgb(255,0,0)"
401,400,416,"rgb(255,0,0)"
416,417,401,"rgb(255,0,0)"
409,408,431,"rgb(255,0,0)"
431,433,409,"rgb(255,0,0)"
402,401,417,"rgb(255,0,0)"
417,420,402,"rgb(255,0,0)"
410,409,433,"rgb(255,0,0)"
433,435,410,"rgb(255,0,0)"
403,402,420,"rgb(255,0,0)"
420,421,403,"rgb(255,0,0)"
411,410,435,"rgb(255,0,0)"
435,438,411,"rgb(255,0,0)"
404,403,421,"rgb(255,0,0)"
421,424,404,"rgb(255,0,0)"
412,411,438,"rgb(255,0,0)"
438,440,412,"rgb(255,0,0)"
405,404,424,"rgb(255,0,0)"
424,426,405,"rgb(255,0,0)"
413,412,440,"rgb(255,0,0)"
440,442,413,"rgb(255,0,0)"
406,405,426,"rgb(255,0,0)"
426,427,406,"rgb(255,0,0)"
414,413,442,"rgb(255,0,0)"
442,443,414,"rgb(255,0,0)"
407,406,427,"rgb(255,0,0)"
427,429,407,"rgb(255,0,0)"
423,422,448,"rgb(255,0,0)"
448,449,423,"rgb(255,0,0)"
439,437,456,"rgb(255,0,0)"
456,457,439,"rgb(255,0,0)"
425,423,449,"rgb(255,0,0)"
449,450,425,"rgb(255,0,0)"
441,439,457,"rgb(255,0,0)"
457,458,441,"rgb(255,0,0)"
428,425,450,"rgb(255,0,0)"
450,451,428,"rgb(255,0,0)"
444,441,458,"rgb(255,0,0)"
458,459,444,"rgb(255,0,0)"
430,428,451,"rgb(255,0,0)"
451,452,430,"rgb(255,0,0)"
